gene	mean_BF	sum_BF	max_BF	n_snps	rank_BF	n	GeneScore
A1CF	-13.051776	-208.828416	-13.051776	16	171	223	0.766816143497758
A4GNT	-13.051776	-39.155328	-13.051776	3	265	1069	0.247895229186155
AACS	-11.3931439017241	-330.40117315	1.15261394	29	24	84	0.285714285714286
AADAC	-10.45431303	-31.36293909	-5.25938709	3	144	1069	0.134705332086062
AADAT	-10.7148366873077	-278.58575387	6.48191712	26	13	110	0.118181818181818
AAGAB	-11.7751520155556	-105.97636814	-1.56216014	9	100	439	0.227790432801822
AAK1	-12.4523614684615	-161.88069909	-5.25938709	13	165	316	0.522151898734177
AAMDC	-13.051776	-39.155328	-13.051776	3	266	1069	0.248830682881197
AAR2	-13.051776	-52.207104	-13.051776	4	301	933	0.322615219721329
AARS1	-13.051776	-26.103552	-13.051776	2	270	1311	0.205949656750572
AARS2	-13.051776	-13.051776	-13.051776	1	132	1564	0.0843989769820972
AASDH	-12.618865505	-227.13957909	-5.25938709	18	129	205	0.629268292682927
AASDHPPT	-11.9096781311111	-214.37420636	1.47886315	18	56	205	0.273170731707317
AASS	-13.051776	-234.931968	-13.051776	18	167	205	0.814634146341463
AATF	-7.823261894	-78.23261894	7.52137818	10	14	477	0.0293501048218029
ABAT	-12.1456276886207	-352.22320297	1.15261394	29	25	84	0.297619047619048
ABCA1	-10.6951979905714	-374.33192967	1.15261394	35	18	65	0.276923076923077
ABCA12	-12.5351655008571	-438.73079253	-7.02465351	35	58	65	0.892307692307692
ABCA13	-13.051776	-65.25888	-13.051776	5	306	817	0.374541003671971
ABCA2	-13.051776	-13.051776	-13.051776	1	133	1564	0.0850383631713555
ABCA3	-13.051776	-13.051776	-13.051776	1	134	1564	0.0856777493606138
ABCA4	-12.4117746190909	-409.58856243	-0.97786491	33	38	84	0.452380952380952
ABCA5	-12.564751693125	-201.03602709	-5.25938709	16	110	223	0.493273542600897
ABCA7	-13.051776	-13.051776	-13.051776	1	135	1564	0.0863171355498721
ABCB10	-10.4299388161538	-135.58920461	1.15261394	13	64	316	0.20253164556962
ABCB11	-13.051776	-78.310656	-13.051776	6	353	738	0.478319783197832
ABCB5	-12.430954125	-397.790532	-0.97786491	32	47	97	0.484536082474227
ABCB7	-12.61614134	-290.17125082	-3.03217882	23	70	128	0.546875
ABCB9	-13.051776	-13.051776	-13.051776	1	136	1564	0.0869565217391304
ABCC1	-13.051776	-378.501504	-13.051776	29	75	84	0.892857142857143
ABCC10	-13.051776	-117.465984	-13.051776	9	254	439	0.578587699316629
ABCC2	-13.051776	-65.25888	-13.051776	5	307	817	0.375764993880049
ABCC3	-12.6658880725	-354.64486603	-5.25938709	28	74	113	0.654867256637168
ABCC4	-11.7348548804651	-1009.19751972	7.76998358	86	5	12	0.416666666666667
ABCC5	-12.4134640077778	-223.44235214	-1.56216014	18	90	205	0.439024390243902
ABCC8	-12.2040415640625	-390.52933005	-4.00564152	32	68	97	0.701030927835051
ABCC9	-10.753852828	-53.76926414	-1.56216014	5	100	817	0.122399020807834
ABCD2	-13.051776	-287.139072	-13.051776	22	141	160	0.88125
ABCD3	-10.2844563215385	-133.69793218	7.85012285	13	16	316	0.0506329113924051
ABCD4	-13.051776	-39.155328	-13.051776	3	267	1069	0.249766136576239
ABCE1	-8.04197741	-16.08395482	-3.03217882	2	100	1311	0.07627765064836
ABCF2	-13.051776	-39.155328	-13.051776	3	268	1069	0.250701590271282
ABCG1	-12.175537074	-304.38842685	8.85419715	25	5	131	0.0381679389312977
ABCG2	-12.7504198755	-255.00839751	-7.02465351	20	118	183	0.644808743169399
ABCG4	-13.051776	-13.051776	-13.051776	1	137	1564	0.0875959079283887
