gene	mean_BF	sum_BF	max_BF	n_snps	rank_BF	n	GeneScore
A1CF	-12.29838568875	-196.77417102	-7.02465351	16	194	223	0.869955156950673
A4GNT	-7.47628911	-22.42886733	3.67468467	3	53	1069	0.0495790458372311
AACS	-12.0184702024138	-348.53563587	4.85984715	29	28	84	0.333333333333333
AADAC	-13.051776	-39.155328	-13.051776	3	420	1069	0.39289055191768
AADAT	-11.7786407626923	-306.24465983	-1.56216014	26	80	110	0.727272727272727
AAGAB	-12.0466499466667	-108.41984952	-4.00564152	9	188	439	0.428246013667426
AAK1	-12.5881511930769	-163.64596551	-7.02465351	13	239	316	0.756329113924051
AAMDC	-13.051776	-39.155328	-13.051776	3	421	1069	0.393826005612722
AAR2	-9.14184147	-36.56736588	2.58796212	4	96	933	0.102893890675241
AARS1	-10.038214755	-20.07642951	-7.02465351	2	245	1311	0.186880244088482
AARS2	-13.051776	-13.051776	-13.051776	1	260	1564	0.166240409207161
AASDH	-11.1546785972222	-200.78421475	-0.97786491	18	112	205	0.546341463414634
AASDHPPT	-9.22513565055556	-166.05244171	6.37518976	18	35	205	0.170731707317073
AASS	-11.8101306405556	-212.58235153	3.27071798	18	61	205	0.297560975609756
AATF	-9.585408369	-95.85408369	0	10	128	477	0.268343815513627
ABAT	-11.2894731562069	-327.39472153	4.38886118	29	33	84	0.392857142857143
ABCA1	-7.94512818657143	-278.07948653	5.67860661	35	21	65	0.323076923076923
ABCA12	-12.0313639751429	-421.09773913	4.04570588	35	30	65	0.461538461538462
ABCA13	-13.051776	-65.25888	-13.051776	5	494	817	0.604651162790698
ABCA2	-5.25938709	-5.25938709	-5.25938709	1	133	1564	0.0850383631713555
ABCA3	-13.051776	-13.051776	-13.051776	1	261	1564	0.166879795396419
ABCA4	-10.3546393087879	-341.70309719	10.06510856	33	6	84	0.0714285714285714
ABCA5	-12.09008337625	-193.44133402	2.33530598	16	83	223	0.37219730941704
ABCA7	-13.051776	-13.051776	-13.051776	1	262	1564	0.167519181585678
ABCB10	-10.98031282	-142.74406666	7.85012285	13	36	316	0.113924050632911
ABCB11	-11.3818431366667	-68.29105882	-3.03217882	6	231	738	0.313008130081301
ABCB5	-12.243221113125	-391.78307562	-5.25938709	32	89	97	0.917525773195876
ABCB7	-12.354092536087	-284.14412833	-3.03217882	23	94	128	0.734375
ABCB9	-13.051776	-13.051776	-13.051776	1	263	1564	0.168158567774936
ABCC1	-11.8908744382759	-344.83535871	-5.25938709	29	70	84	0.833333333333333
ABCC10	-12.3820957233333	-111.43886151	-7.02465351	9	244	439	0.555808656036446
ABCC2	-9.684071322	-48.42035661	-4.00564152	5	243	817	0.297429620563036
ABCC3	-12.24429694	-342.84031432	-0.4619595	28	76	113	0.672566371681416
ABCC4	-11.5040909318605	-989.35182014	11.26206248	86	4	12	0.333333333333333
ABCC5	-13.051776	-234.931968	-13.051776	18	191	205	0.931707317073171
ABCC8	-12.33722456625	-394.79118612	-4.00564152	32	85	97	0.876288659793814
ABCC9	-11.047856564	-55.23928282	-3.03217882	5	209	817	0.255813953488372
ABCD2	-12.5038557736364	-275.08482702	-7.02465351	22	148	160	0.925
ABCD3	-12.5881511930769	-163.64596551	-7.02465351	13	240	316	0.759493670886076
ABCD4	-13.051776	-39.155328	-13.051776	3	422	1069	0.394761459307764
ABCE1	-1.08240318	-2.16480636	4.85984715	2	46	1311	0.0350877192982456
ABCF2	-13.051776	-39.155328	-13.051776	3	423	1069	0.395696913002806
ABCG1	-10.0640068224	-251.60017056	8.23236153	25	16	131	0.122137404580153
ABCG2	-10.384792574	-207.69585148	8.91878321	20	22	183	0.120218579234973
ABCG4	-13.051776	-13.051776	-13.051776	1	264	1564	0.168797953964194
ABCG5	-13.051776	-156.621312	-13.051776	12	285	320	0.890625
ABCG8	-11.47643146	-172.1464719	4.55126961	15	54	254	0.21259842519685
ABHD10	-13.051776	-143.569536	-13.051776	11	319	408	0.781862745098039
ABHD11	-13.051776	-13.051776	-13.051776	1	265	1564	0.169437340153453
ABHD12	-11.4226778483333	-205.60820127	2.06760079	18	75	205	0.365853658536585
ABHD12B	-13.051776	-13.051776	-13.051776	1	266	1564	0.170076726342711
ABHD13	-8.736205585	-52.41723351	-0.97786491	6	181	738	0.245257452574526
ABHD17C	-10.9288326154545	-240.43431754	-3.03217882	22	109	160	0.68125
ABHD18	-11.0614870476923	-143.79933162	-5.25938709	13	212	316	0.670886075949367
ABHD2	-12.3964170013043	-285.11759103	-4.00564152	23	99	128	0.7734375
ABHD3	-12.0477932307692	-156.621312	0	13	134	316	0.424050632911392
ABHD5	-13.051776	-247.983744	-13.051776	19	162	170	0.952941176470588
ABHD6	-13.051776	-52.207104	-13.051776	4	455	933	0.487674169346195
ABI1	-12.532283406	-187.98425109	-5.25938709	15	179	254	0.704724409448819
ABI2	-11.08705779	-121.95763569	-5.25938709	11	223	408	0.54656862745098
ABI3BP	-11.3764833932353	-1160.40130611	7.07650758	100	128	209	0.61244019138756
ABITRAM	-13.051776	-52.207104	-13.051776	4	456	933	0.488745980707395
ABL1	-11.9082745905	-476.33098362	-0.97786491	40	52	66	0.787878787878788
ABL2	-12.7779148127273	-140.55706294	-10.03930294	11	317	408	0.776960784313726
ABLIM1	-11.9455723709924	-1564.8699806	6.88640152	100	135	209	0.645933014354067
ABLIM2	-12.0118665201087	-1105.09171985	8.3053932	92	4	9	0.444444444444444
ABLIM3	-13.051776	-52.207104	-13.051776	4	457	933	0.489817792068596
ABR	-9.73852709166667	-58.43116255	0.80059496	6	139	738	0.188346883468835
ABRA	-10.969600042	-109.69600042	7.76998358	10	37	477	0.0775681341719078
ABRACL	-13.051776	-78.310656	-13.051776	6	498	738	0.67479674796748
ABRAXAS1	-13.051776	-26.103552	-13.051776	2	368	1311	0.280701754385965
ABRAXAS2	-13.051776	-52.207104	-13.051776	4	458	933	0.490889603429796
ABTB1	-10.5194411553333	-157.79161733	2.06760079	15	75	254	0.295275590551181
ABTB2	-11.8745694955172	-344.36251537	-3.03217882	29	64	84	0.761904761904762
ACAA1	-13.051776	-52.207104	-13.051776	4	459	933	0.491961414790997
ACAA2	-6.7721103425	-27.08844137	6.03976414	4	45	933	0.0482315112540193
ACACA	-11.0254713835294	-374.86602704	6.68844337	34	26	82	0.317073170731707
ACACB	-13.051776	-104.414208	-13.051776	8	389	534	0.728464419475655
ACAD10	-13.051776	-13.051776	-13.051776	1	267	1564	0.170716112531969
ACAD11	-12.272537109	-245.45074218	-5.25938709	20	151	183	0.825136612021858
ACAD8	-10.7199911457143	-75.03993802	3.27071798	7	83	621	0.13365539452496
ACAD9	-13.051776	-26.103552	-13.051776	2	369	1311	0.281464530892448
ACADL	-13.051776	-52.207104	-13.051776	4	460	933	0.493033226152197
ACADM	-13.051776	-39.155328	-13.051776	3	424	1069	0.396632366697848
ACADS	-13.051776	-39.155328	-13.051776	3	425	1069	0.397567820392891
ACADSB	-12.449063751	-124.49063751	-7.02465351	10	292	477	0.612159329140461
ACAN	-11.2603896619048	-236.4681829	8.98255928	21	21	160	0.13125
ACAP2	-10.8442411866667	-195.19634136	5.42136985	18	45	205	0.219512195121951
ACAP3	-11.08705779	-121.95763569	-5.25938709	11	224	408	0.549019607843137
ACAT1	-12.1907585014286	-85.33530951	-7.02465351	7	342	621	0.550724637681159
ACAT2	-9.62291697	-57.73750182	7.52137818	6	32	738	0.043360433604336
ACBD3	-12.3433770081818	-135.77714709	-5.25938709	11	225	408	0.551470588235294
ACBD4	-13.051776	-26.103552	-13.051776	2	370	1311	0.282227307398932
ACBD5	-12.5881511930769	-163.64596551	-7.02465351	13	241	316	0.762658227848101
ACBD6	-11.73236393	-574.88583257	2.82719788	49	27	36	0.75
ACCS	-11.662165006	-174.93247509	0	15	99	254	0.389763779527559
ACE	-13.051776	-13.051776	-13.051776	1	268	1564	0.171355498721228
ACE2	-12.0061812631579	-228.117444	-0.97786491	19	98	170	0.576470588235294
ACER2	-6.64814823266667	-99.72222349	9.63633026	15	15	254	0.0590551181102362
ACER3	-11.3048559677358	-599.15736629	2.06760079	53	15	19	0.789473684210526
ACKR2	-13.051776	-52.207104	-13.051776	4	461	933	0.494105037513398
ACKR3	-10.7161322195	-214.32264439	4.55126961	20	43	183	0.234972677595628
ACLY	-12.3838028546667	-185.75704282	-3.03217882	15	149	254	0.586614173228346
ACMSD	-11.0563962972222	-199.01513335	9.04554725	18	20	205	0.0975609756097561
ACO1	-7.9557219588	-198.89304897	5.00673111	25	35	131	0.267175572519084
ACO2	-12.4623879305882	-211.86059482	-3.03217882	17	121	218	0.555045871559633
ACOD1	-13.051776	-156.621312	-13.051776	12	286	320	0.89375
ACOT11	-7.47628911	-22.42886733	3.67468467	3	54	1069	0.0505144995322732
ACOT12	-5.18914633	-41.51317064	11.3443169	8	12	534	0.0224719101123595
ACOT13	-13.051776	-52.207104	-13.051776	4	462	933	0.495176848874598
ACOT7	-13.051776	-26.103552	-13.051776	2	371	1311	0.282990083905416
ACOT9	-11.4593452409091	-126.05279765	-1.56216014	11	157	408	0.384803921568627
ACOX1	-11.3978898425	-136.77467811	-5.25938709	12	208	320	0.65
ACOX2	-13.051776	-91.362432	-13.051776	7	423	621	0.681159420289855
ACOX3	-10.4836139815	-209.67227963	4.85984715	20	41	183	0.224043715846995
ACP1	-10.7477959108333	-128.97355093	-2.23599939	12	158	320	0.49375
ACP2	-13.051776	-13.051776	-13.051776	1	269	1564	0.171994884910486
ACP6	-11.4104023057143	-79.87281614	-1.56216014	7	176	621	0.28341384863124
ACRBP	-10.038214755	-20.07642951	-7.02465351	2	246	1311	0.187643020594966
ACSBG1	-12.1467386948485	-400.84237693	-3.03217882	33	72	84	0.857142857142857
ACSBG2	-5.66526128	-16.99578384	9.10776816	3	16	1069	0.0149672591206735
ACSF2	-7.94392372863636	-174.76632203	12.94577232	22	9	160	0.05625
ACSF3	-6.105200148	-30.52600074	21.68110326	5	3	817	0.00367197062423501
ACSL1	-11.6106312783333	-278.65515068	5.00673111	24	32	127	0.251968503937008
ACSL3	-12.1259524803448	-351.65262193	7.76998358	29	17	84	0.202380952380952
ACSL4	-11.04273517	-66.25641102	-7.02465351	6	373	738	0.505420054200542
ACSL5	-10.945425730625	-175.12681169	1.15261394	16	97	223	0.434977578475336
ACSL6	-12.5193926594118	-425.65935042	-0.97786491	34	62	82	0.75609756097561
ACSS1	-10.6960003442105	-203.22400654	1.15261394	19	71	170	0.417647058823529
ACSS2	-13.051776	-247.983744	-13.051776	19	163	170	0.958823529411765
ACSS3	-12.2709609689362	-576.73516554	-0.4619595	47	24	35	0.685714285714286
ACTA1	-13.051776	-26.103552	-13.051776	2	372	1311	0.283752860411899
ACTA2	-13.051776	-78.310656	-13.051776	6	499	738	0.676151761517615
ACTB	-5.25938709	-5.25938709	-5.25938709	1	134	1564	0.0856777493606138
ACTC1	-13.051776	-65.25888	-13.051776	5	495	817	0.605875152998776
ACTL6A	-9.68415208111111	-87.15736873	0.41831588	9	104	439	0.236902050113895
ACTN1	-11.6302677803333	-348.90803341	9.7468367	30	14	76	0.184210526315789
ACTN2	-11.6564129875	-466.2565195	2.06760079	40	38	66	0.575757575757576
ACTR10	-12.1907585014286	-85.33530951	-7.02465351	7	343	621	0.552334943639291
ACTR1A	-11.493298218	-57.46649109	-5.25938709	5	290	817	0.354957160342717
ACTR2	-12.5038557736364	-137.54241351	-7.02465351	11	251	408	0.615196078431373
ACTR3	-13.051776	-143.569536	-13.051776	11	320	408	0.784313725490196
ACTR3B	-13.051776	-234.931968	-13.051776	18	192	205	0.936585365853659
ACTR5	-11.787306473125	-188.59690357	1.15261394	16	98	223	0.439461883408072
ACTR6	-13.051776	-39.155328	-13.051776	3	426	1069	0.398503274087933
ACTR8	-13.051776	-117.465984	-13.051776	9	328	439	0.747152619589977
ACVR1	-12.3427027658824	-209.82594702	-7.02465351	17	168	218	0.770642201834862
ACVR1C	-13.051776	-52.207104	-13.051776	4	463	933	0.496248660235798
ACVR2A	-12.3427027658824	-209.82594702	-7.02465351	17	169	218	0.775229357798165
ACVR2B	-12.28164907875	-393.01277052	-0.4619595	32	61	97	0.628865979381443
ACYP2	-13.051776	-195.77664	-13.051776	15	226	254	0.889763779527559
ADA	-11.6529503654545	-128.18245402	2.33530598	11	93	408	0.227941176470588
ADAD1	-13.051776	-65.25888	-13.051776	5	496	817	0.607099143206854
ADAL	-11.508068835	-161.11296369	-5.25938709	14	186	291	0.639175257731959
ADAM10	-11.736247216129	-363.8236637	7.85012285	31	16	90	0.177777777777778
ADAM12	-11.3109623192754	-780.45640003	4.38886118	69	5	8	0.625
ADAM17	-11.5092430932558	-494.89745301	-0.97786491	43	39	49	0.795918367346939
ADAM19	-9.731701574	-97.31701574	2.06760079	10	89	477	0.186582809224319
ADAM20	-13.051776	-39.155328	-13.051776	3	427	1069	0.399438727782975
ADAM23	-11.2062119477273	-493.0733257	11.62328679	44	13	38	0.342105263157895
ADAM28	-9.586725052	-95.86725052	-3.03217882	10	197	477	0.412997903563941
ADAM9	-13.051776	-117.465984	-13.051776	9	329	439	0.749430523917995
ADAMTS1	-13.051776	-52.207104	-13.051776	4	464	933	0.497320471596999
ADAMTS10	-12.047255585	-72.28353351	-7.02465351	6	374	738	0.506775067750677
ADAMTS12	-9.34518537240964	-775.65038591	5.00673111	83	6	10	0.6
ADAMTS13	-13.051776	-104.414208	-13.051776	8	390	534	0.730337078651685
ADAMTS14	-10.21436013	-71.50052091	-2.23599939	7	202	621	0.325281803542673
ADAMTS15	-10.45431303	-31.36293909	-5.25938709	3	238	1069	0.222637979420019
ADAMTS17	-11.5431685246875	-738.76278558	3.27071798	64	14	17	0.823529411764706
ADAMTS18	-10.0383829283333	-301.15148785	12.55785552	30	4	76	0.0526315789473684
ADAMTS19	-10.5780391921429	-592.37019476	8.3773694	56	8	21	0.380952380952381
ADAMTS2	-10.7146285167308	-1114.32136574	26.4250753	100	3	209	0.0143540669856459
ADAMTS20	-12.5755144626667	-754.53086776	4.70813963	60	13	18	0.722222222222222
ADAMTS3	-11.2354943712903	-348.30032551	9.80123028	31	11	90	0.122222222222222
ADAMTS5	-11.093479642	-221.86959284	1.47886315	20	80	183	0.437158469945355
ADAMTS6	-9.06521668518518	-244.7608505	16.93953594	27	3	111	0.027027027027027
ADAMTS7	-13.051776	-26.103552	-13.051776	2	373	1311	0.284515636918383
ADAMTS8	-12.29838568875	-98.38708551	-7.02465351	8	288	534	0.539325842696629
ADAMTS9	-10.34193164975	-413.67726599	13.82635217	40	4	66	0.0606060606060606
ADAMTSL1	-8.9209866641875	-1427.35786627	17.40092438	150	14	97	0.144329896907216
ADAMTSL2	-13.051776	-104.414208	-13.051776	8	391	534	0.732209737827715
ADAMTSL3	-11.2870828174766	-1207.71786147	14.35772883	100	40	209	0.191387559808612
ADAP1	-10.8444835825	-216.88967165	13.28208626	20	8	183	0.0437158469945355
ADAP2	-13.051776	-39.155328	-13.051776	3	428	1069	0.400374181478017
ADAR	-10.03639784	-30.10919352	-4.00564152	3	200	1069	0.187090739008419
