gene	mean_BF	sum_BF	max_BF	n_snps	rank_BF	n	GeneScore
A1CF	-11.873408355	-189.97453368	5.80210632	16	20	223	0.0896860986547085
A4GNT	-13.051776	-39.155328	-13.051776	3	197	1069	0.184284377923293
AACS	-12.1817180655172	-353.2698239	12.1799041	29	5	84	0.0595238095238095
AADAC	-13.051776	-39.155328	-13.051776	3	198	1069	0.185219831618335
AADAT	-12.3559195015385	-321.25390704	-4.00564152	26	63	110	0.572727272727273
AAGAB	-12.3820957233333	-111.43886151	-7.02465351	9	147	439	0.334851936218679
AAK1	-11.75650497	-152.83456461	-4.00564152	13	104	316	0.329113924050633
AAMDC	-13.051776	-39.155328	-13.051776	3	199	1069	0.186155285313377
AAR2	-11.5449953775	-46.17998151	-7.02465351	4	178	933	0.190782422293676
AARS1	-13.051776	-26.103552	-13.051776	2	180	1311	0.137299771167048
AARS2	-7.02465351	-7.02465351	-7.02465351	1	72	1564	0.0460358056265985
AASDH	-12.1569889361111	-218.82580085	3.05439115	18	35	205	0.170731707317073
AASDHPPT	-10.5588435416667	-190.05918375	5.92243719	18	19	205	0.0926829268292683
AASS	-12.2276272094444	-220.09728977	1.78290223	18	45	205	0.219512195121951
AATF	-12.449063751	-124.49063751	-7.02465351	10	171	477	0.358490566037736
ABAT	-12.6555823496552	-367.01188814	-1.56216014	29	38	84	0.452380952380952
ABCA1	-10.3013329014286	-360.54665155	4.85984715	35	13	65	0.2
ABCA12	-12.6920669571429	-444.2223435	-0.4619595	35	27	65	0.415384615384615
ABCA13	-7.000545812	-35.00272906	8.15824046	5	14	817	0.0171358629130967
ABCA2	-13.051776	-13.051776	-13.051776	1	118	1564	0.0754475703324808
ABCA3	-13.051776	-13.051776	-13.051776	1	119	1564	0.0760869565217391
ABCA4	-12.0421782493939	-397.39188223	0.41831588	33	29	84	0.345238095238095
ABCA5	-11.888217313125	-190.21147701	-0.4619595	16	51	223	0.228699551569507
ABCA7	-13.051776	-13.051776	-13.051776	1	120	1564	0.0767263427109974
ABCB10	-13.051776	-169.673088	-13.051776	13	175	316	0.55379746835443
ABCB11	-13.051776	-78.310656	-13.051776	6	244	738	0.330623306233062
ABCB5	-12.282059990625	-393.0259197	-4.00564152	32	48	97	0.494845360824742
ABCB7	-11.9027672826087	-273.7636475	7.34830201	23	13	128	0.1015625
ABCB9	-5.25938709	-5.25938709	-5.25938709	1	51	1564	0.0326086956521739
ABCC1	-12.2631545658621	-355.63148241	-2.23599939	29	42	84	0.5
ABCC10	-13.051776	-117.465984	-13.051776	9	195	439	0.444191343963554
ABCC2	-10.5338127	-52.6690635	-0.4619595	5	68	817	0.0832313341493268
ABCC3	-13.051776	-365.449728	-13.051776	28	100	113	0.884955752212389
ABCC4	-12.8352999652326	-1103.83579701	-0.4619595	86	7	12	0.583333333333333
ABCC5	-11.0109154366667	-198.19647786	11.09389764	18	9	205	0.0439024390243902
ABCC8	-12.3150018240625	-394.08005837	1.47886315	32	24	97	0.247422680412371
ABCC9	-13.051776	-65.25888	-13.051776	5	239	817	0.292533659730722
ABCD2	-13.051776	-287.139072	-13.051776	22	131	160	0.81875
ABCD3	-11.1990352615385	-145.5874584	5.00673111	13	30	316	0.0949367088607595
ABCD4	-13.051776	-39.155328	-13.051776	3	200	1069	0.187090739008419
ABCE1	-13.051776	-26.103552	-13.051776	2	181	1311	0.138062547673532
ABCF2	-13.051776	-39.155328	-13.051776	3	201	1069	0.188026192703461
ABCG1	-12.8106911004	-320.26727751	-7.02465351	25	82	131	0.625954198473282
ABCG2	-11.283110728	-225.66221456	4.22049586	20	24	183	0.131147540983607
ABCG4	-13.051776	-13.051776	-13.051776	1	121	1564	0.0773657289002558
ABCG5	-10.821225825	-129.8547099	5.92243719	12	20	320	0.0625
ABCG8	-9.440590984	-141.60886476	9.7468367	15	7	254	0.0275590551181102
ABHD10	-11.7031688881818	-128.73485777	1.78290223	11	38	408	0.0931372549019608
ABHD11	-13.051776	-13.051776	-13.051776	1	122	1564	0.0780051150895141
ABHD12	-10.6072722516667	-190.93090053	14.9025718	18	2	205	0.00975609756097561
ABHD12B	-13.051776	-13.051776	-13.051776	1	123	1564	0.0786445012787724
ABHD13	-13.051776	-78.310656	-13.051776	6	245	738	0.331978319783198
ABHD17C	-11.6167459581818	-255.56841108	18.51888492	22	2	160	0.0125
ABHD18	-11.6307647807692	-151.19994215	5.42136985	13	24	316	0.0759493670886076
ABHD2	-11.3736986534783	-261.59506903	0.41831588	23	39	128	0.3046875
ABHD3	-10.6401200807692	-138.32156105	-1.56216014	13	87	316	0.275316455696203
ABHD5	-13.051776	-247.983744	-13.051776	19	120	170	0.705882352941177
ABHD6	-13.051776	-52.207104	-13.051776	4	238	933	0.255091103965702
ABI1	-13.051776	-195.77664	-13.051776	15	157	254	0.618110236220472
ABI2	-12.5038557736364	-137.54241351	-7.02465351	11	151	408	0.370098039215686
ABI3BP	-12.3018976088235	-1254.7935561	7.16881594	100	73	209	0.349282296650718
ABITRAM	-13.051776	-52.207104	-13.051776	4	239	933	0.256162915326902
ABL1	-12.74992822275	-509.99712891	-0.97786491	40	36	66	0.545454545454545
ABL2	-13.051776	-143.569536	-13.051776	11	208	408	0.509803921568627
ABLIM1	-12.538845768855	-1642.58879572	12.1799041	100	26	209	0.124401913875598
ABLIM2	-12.4687431076087	-1147.1243659	11.85222101	92	2	9	0.222222222222222
ABLIM3	-13.051776	-52.207104	-13.051776	4	240	933	0.257234726688103
ABR	-13.051776	-78.310656	-13.051776	6	246	738	0.333333333333333
ABRA	-13.051776	-130.51776	-13.051776	10	236	477	0.494758909853249
ABRACL	-4.35474533333333	-26.128472	8.44832254	6	16	738	0.021680216802168
ABRAXAS1	-13.051776	-26.103552	-13.051776	2	182	1311	0.138825324180015
ABRAXAS2	-9.904321875	-39.6172875	-0.4619595	4	66	933	0.0707395498392283
ABTB1	-11.6627510806667	-174.94126621	-2.23599939	15	65	254	0.255905511811024
ABTB2	-12.63611238	-366.44725902	-7.02465351	29	58	84	0.69047619047619
ACAA1	-13.051776	-52.207104	-13.051776	4	241	933	0.258306538049303
ACAA2	-6.63916229	-26.55664916	1.78290223	4	49	933	0.052518756698821
ACACA	-13.051776	-443.760384	-13.051776	34	74	82	0.902439024390244
ACACB	-13.051776	-104.414208	-13.051776	8	219	534	0.410112359550562
ACAD10	-13.051776	-13.051776	-13.051776	1	124	1564	0.0792838874680307
ACAD11	-12.1209290505	-242.41858101	-0.4619595	20	65	183	0.355191256830601
ACAD8	-13.051776	-91.362432	-13.051776	7	241	621	0.388083735909823
ACAD9	-13.051776	-26.103552	-13.051776	2	183	1311	0.139588100686499
ACADL	-11.5449953775	-46.17998151	-7.02465351	4	179	933	0.191854233654877
ACADM	-13.051776	-39.155328	-13.051776	3	202	1069	0.188961646398503
ACADS	-8.8551705	-26.5655115	-0.4619595	3	44	1069	0.0411599625818522
ACADSB	-13.051776	-130.51776	-13.051776	10	237	477	0.49685534591195
ACAN	-12.7647701671429	-268.06017351	-7.02465351	21	95	160	0.59375
ACAP2	-13.051776	-234.931968	-13.051776	18	143	205	0.697560975609756
ACAP3	-13.051776	-143.569536	-13.051776	11	209	408	0.512254901960784
ACAT1	-13.051776	-91.362432	-13.051776	7	242	621	0.389694041867955
ACAT2	-13.051776	-78.310656	-13.051776	6	247	738	0.334688346883469
ACBD3	-13.051776	-143.569536	-13.051776	11	210	408	0.514705882352941
ACBD4	-13.051776	-26.103552	-13.051776	2	184	1311	0.140350877192982
ACBD5	-13.051776	-169.673088	-13.051776	13	176	316	0.556962025316456
ACBD6	-12.3469412873469	-605.00012308	11.46552774	49	3	36	0.0833333333333333
ACCS	-11.8291758266667	-177.4376374	5.2872266	15	18	254	0.0708661417322835
ACE	-13.051776	-13.051776	-13.051776	1	125	1564	0.079923273657289
ACE2	-13.051776	-247.983744	-13.051776	19	121	170	0.711764705882353
ACER2	-9.77860790466667	-146.67911857	7.25939158	15	11	254	0.0433070866141732
ACER3	-12.8627269966038	-681.72453082	-3.03217882	53	12	19	0.631578947368421
ACKR2	-13.051776	-52.207104	-13.051776	4	242	933	0.259378349410504
ACKR3	-12.7504198755	-255.00839751	-7.02465351	20	103	183	0.562841530054645
ACLY	-11.6627510806667	-174.94126621	-2.23599939	15	66	254	0.259842519685039
ACMSD	-13.051776	-234.931968	-13.051776	18	144	205	0.702439024390244
ACO1	-11.9772761488	-299.43190372	-2.23599939	25	58	131	0.442748091603053
ACO2	-13.051776	-221.880192	-13.051776	17	138	218	0.63302752293578
ACOD1	-13.051776	-156.621312	-13.051776	12	174	320	0.54375
ACOT11	-13.051776	-39.155328	-13.051776	3	203	1069	0.189897100093545
ACOT12	-12.29838568875	-98.38708551	-7.02465351	8	155	534	0.290262172284644
ACOT13	-13.051776	-52.207104	-13.051776	4	243	933	0.260450160771704
ACOT7	-13.051776	-26.103552	-13.051776	2	185	1311	0.141113653699466
ACOT9	-9.93791700272727	-109.31708703	7.34830201	11	13	408	0.0318627450980392
ACOX1	-13.051776	-156.621312	-13.051776	12	175	320	0.546875
ACOX2	-12.1907585014286	-85.33530951	-7.02465351	7	175	621	0.281803542673108
ACOX3	-13.051776	-261.03552	-13.051776	20	128	183	0.699453551912568
ACP1	-11.6421308175	-139.70556981	3.86396619	12	28	320	0.0875
ACP2	-13.051776	-13.051776	-13.051776	1	126	1564	0.0805626598465473
ACP6	-10.6456475571429	-74.5195329	-2.23599939	7	89	621	0.143317230273752
ACRBP	-7.02465351	-14.04930702	-7.02465351	2	125	1311	0.09534706331045
ACSBG1	-11.5671382054545	-381.71556078	6.88640152	33	7	84	0.0833333333333333
ACSBG2	-13.051776	-39.155328	-13.051776	3	204	1069	0.190832553788587
ACSF2	-13.051776	-287.139072	-13.051776	22	132	160	0.825
ACSF3	-13.051776	-65.25888	-13.051776	5	240	817	0.2937576499388
ACSL1	-13.051776	-313.242624	-13.051776	24	96	127	0.755905511811024
ACSL3	-11.8478848082759	-343.58865944	1.47886315	29	30	84	0.357142857142857
ACSL4	2.80722318833333	16.84333913	20.26917916	6	1	738	0.0013550135501355
ACSL5	-12.564751693125	-201.03602709	-5.25938709	16	83	223	0.37219730941704
ACSL6	-13.051776	-443.760384	-13.051776	34	75	82	0.914634146341463
ACSS1	-13.051776	-247.983744	-13.051776	19	122	170	0.717647058823529
ACSS2	-11.4304973842105	-217.1794503	5.67860661	19	17	170	0.1
ACSS3	-12.4370362474468	-584.54070363	-4.00564152	47	26	35	0.742857142857143
ACTA1	-13.051776	-26.103552	-13.051776	2	186	1311	0.14187643020595
ACTA2	-10.7485241	-64.4911446	-5.25938709	6	150	738	0.203252032520325
ACTB	-13.051776	-13.051776	-13.051776	1	127	1564	0.0812020460358056
ACTC1	-13.051776	-65.25888	-13.051776	5	241	817	0.294981640146879
ACTL6A	-11.7751520155556	-105.97636814	-1.56216014	9	69	439	0.157175398633257
ACTN1	-13.051776	-391.55328	-13.051776	30	59	76	0.776315789473684
ACTN2	-12.40444043775	-496.17761751	-0.97786491	40	37	66	0.560606060606061
ACTR10	-13.051776	-91.362432	-13.051776	7	243	621	0.391304347826087
ACTR1A	-11.493298218	-57.46649109	-5.25938709	5	155	817	0.189718482252142
ACTR2	-13.051776	-143.569536	-13.051776	11	211	408	0.517156862745098
ACTR3	-13.051776	-143.569536	-13.051776	11	212	408	0.519607843137255
ACTR3B	-12.0622212172222	-217.11998191	-3.03217882	18	82	205	0.4
ACTR5	-13.051776	-208.828416	-13.051776	16	139	223	0.623318385650224
ACTR6	-13.051776	-39.155328	-13.051776	3	205	1069	0.19176800748363
ACTR8	-13.051776	-117.465984	-13.051776	9	196	439	0.446469248291572
ACVR1	-12.5196504423529	-212.83405752	-4.00564152	17	67	218	0.307339449541284
ACVR1C	-13.051776	-52.207104	-13.051776	4	244	933	0.261521972132905
ACVR2A	-12.6972393829412	-215.85306951	-7.02465351	17	100	218	0.458715596330275
ACVR2B	-12.8634284221875	-411.62970951	-7.02465351	32	68	97	0.701030927835051
ACYP2	-13.051776	-195.77664	-13.051776	15	158	254	0.622047244094488
ADA	-13.051776	-143.569536	-13.051776	11	213	408	0.522058823529412
ADAD1	-13.051776	-65.25888	-13.051776	5	242	817	0.296205630354957
ADAL	-12.2792205278571	-171.90908739	-2.23599939	14	71	291	0.243986254295533
ADAM10	-12.6811432303226	-393.11544014	-1.56216014	31	35	90	0.388888888888889
ADAM12	-12.5570080488406	-866.43355537	-3.03217882	69	5	8	0.625
ADAM17	-13.051776	-561.226368	-13.051776	43	45	49	0.918367346938776
ADAM19	-11.902814414	-119.02814414	-1.56216014	10	92	477	0.192872117400419
ADAM20	-13.051776	-39.155328	-13.051776	3	206	1069	0.192703461178672
ADAM23	-13.051776	-574.278144	-13.051776	44	36	38	0.947368421052632
ADAM28	-13.051776	-130.51776	-13.051776	10	238	477	0.49895178197065
ADAM9	-13.051776	-117.465984	-13.051776	9	197	439	0.44874715261959
ADAMTS1	-11.1036787725	-44.41471509	-5.25938709	4	142	933	0.152197213290461
ADAMTS10	-13.051776	-78.310656	-13.051776	6	248	738	0.336043360433604
ADAMTS12	-9.0832206986747	-753.90731799	31.05850674	83	1	10	0.1
ADAMTS13	-12.07772738625	-96.62181909	-5.25938709	8	127	534	0.237827715355805
ADAMTS14	-13.051776	-91.362432	-13.051776	7	244	621	0.392914653784219
ADAMTS15	-13.051776	-39.155328	-13.051776	3	207	1069	0.193638914873714
ADAMTS17	-12.595600265625	-806.118417	10.11634851	64	2	17	0.117647058823529
ADAMTS18	-13.051776	-391.55328	-13.051776	30	60	76	0.789473684210526
ADAMTS19	-10.7527426208929	-602.15358677	6.78844652	56	8	21	0.380952380952381
ADAMTS2	-12.6941488947115	-1320.19148505	2.06760079	100	149	209	0.712918660287081
ADAMTS20	-11.942914648	-716.57487888	16.33845045	60	3	18	0.166666666666667
ADAMTS3	-12.604925323871	-390.75268504	0.80059496	31	28	90	0.311111111111111
ADAMTS5	-13.051776	-261.03552	-13.051776	20	129	183	0.704918032786885
ADAMTS6	-10.2153177903704	-275.81358034	3.27071798	27	15	111	0.135135135135135
ADAMTS7	-13.051776	-26.103552	-13.051776	2	187	1311	0.142639206712433
ADAMTS8	-12.29838568875	-98.38708551	-7.02465351	8	156	534	0.292134831460674
ADAMTS9	-12.514045674	-500.56182696	-1.56216014	40	39	66	0.590909090909091
ADAMTSL1	-10.9872317353125	-1757.95707765	4.55126961	150	65	97	0.670103092783505
ADAMTSL2	-13.051776	-104.414208	-13.051776	8	220	534	0.411985018726592
ADAMTSL3	-12.2982843700935	-1315.9164276	8.78877829	100	63	209	0.301435406698565
ADAP1	-11.2406532115	-224.81306423	2.33530598	20	43	183	0.234972677595628
ADAP2	-13.051776	-39.155328	-13.051776	3	208	1069	0.194574368568756
ADAR	-13.051776	-39.155328	-13.051776	3	209	1069	0.195509822263798
ADARB1	-11.9588913261111	-430.52008774	0.41831588	36	29	62	0.467741935483871
ADARB2	-12.77241687312	-1596.55210914	-4.00564152	100	203	209	0.971291866028708
ADAT1	-13.051776	-13.051776	-13.051776	1	128	1564	0.0818414322250639
ADAT2	-13.051776	-26.103552	-13.051776	2	188	1311	0.143401983218917
ADCK1	-13.051776	-404.605056	-13.051776	31	71	90	0.788888888888889
